question,answer
五千免赔额是什么意思？,如果投保人在同一订单内为多个家人（≥2人）同时购买本产品，全家人共享5千元年免赔额。比如张女士先生为自己（29岁）、丈夫（31岁）和女儿（5岁）同一保单购买了该产品，情况一：若张女士因遭受意外导致了住院，花费了4.5万元，如为责任范围内医疗费用，将在扣除5千元免赔额后获得责任内赔付。因为是全家共享5千元免赔额，保险期间内若张女士丈夫和女儿发生责任内医疗费用，不再需要扣除免赔额，免赔额为0元。情况二：若张女士等待期后不幸初次确诊罹患恶性肿瘤且住院治疗，由于是合同定义约定的重大疾病出险，自确诊之日起张女士保险合同的免赔额为0.张女士丈夫和女儿则继续共享5千元的年免赔额。家庭成员：配偶、父母（含配偶父母）、子女。
全家版方案包括哪些人？,全家版包含被保险人、被保险人的法定父母、被保险人的法定配偶、被保险人的法定配偶的法定父母及被保险人的法定子女，合计不超过8人。
我的网银账户关联了多张银行卡，是否都保？,如果您购买了本产品，不论您的网银账户关联了几张银行卡，都在保障范围内。
是否保新冠肺炎?,没有明确除外因新冠肺炎产生的医疗费用，在保险责任范围内，无论是因普通疾病还是意外造成的一般医疗费用在1万免赔额以上的，还是因特定重大疾病治疗产生的医疗费用，均可全额申报，但普通门诊不在理赔范围之内。
质子重离子怎么赔付？,质子重离子放射治疗而发生的相关费用，包括膳食费、护理费、医生费、检查检验费、治疗费、药品费100%赔付；但本项责任下不包括化学疗法、放射疗法、肿瘤免疫疗法、肿瘤内分泌疗法和肿瘤靶向疗法所产生的医疗费用。
E家平安(升级体检版)有哪些亮点,1、600 万高保额，覆盖一般医疗疾病和120种重大疾病； 2、针对家庭保单推出全家共摊1万免赔额，一般医疗险理赔总达不到免赔额的难题不再有； 3、更有5大增值服务： 1）不限次住院垫付，不再为治疗费发愁； 2）重疾绿通，专家二诊，手术安排，不再为住院手术犯难； 3）家庭医生不限次电话问诊服务，小病不用去医院，随时随地就能看医生； 4）名医点诊，专科问题指定名医； 5）安心陪诊，护理顾问陪同就诊，协助挂号、排队、代取报告/取药。 升级亮点： 增加5000免赔方案，灵活选择：五千还是一万，客户自主选择，理赔门槛不再遥不可及 境内全特药险种覆盖，领先市场：新药上市自动纳入，癌症患病时敢用药、用好药，百万一针不再愁！ 暖心服务全面升级，增加护理服务: 覆盖全国667 家医院，提供五项1对1住院专属护工服务 暖心服务全面升级，增加体检服务:覆盖539家体检门店，提供品牌体检机构专业体检服务 首年承保人群开放至65周岁：涵盖更多人群，为更多家庭提供健康保障守护
E家平安(升级体检版)是否保新冠肺炎,E家平安·百万医疗险（升级体检版）没有明确除外因新冠肺炎产生的医疗费用，在保险责任范围内，无论是因普通疾病还是意外造成的一般医疗费用在1万免赔额以上的，还是因特定重大疾病治疗产生的医疗费用，均可全额申报，但普通门诊不在理赔范围之内。  人文关怀①无医院限制②无治疗项目限制③无药品限制④无等待期⑤无免赔额
我可以享有哪些线下就医服务？,您享有五项的线下就医服务，包括安心陪诊服务、住院垫付服务、重疾绿通服务（包含本公司合作医院内的住院安排和手术安排、国内知名专家第二诊疗意见、出院后的医后随访和陪诊服务各一次）；（垫付支持城市和绿通合作医院可参考附件一和附件二）；住院护工服务；特药服务
什么是住院护工服务？,住院护工服务包含五大类14项服务内容，包含基本生活照护、清洁与卫生、情况观察、专项照护、关怀与陪同，主要以生活照料类服务为主。每次上门的具体服务内容将依据与被保险人及家属确认的服务计划书施行。
如何知道自己有体检服务？,请登录您的平安好车主/平安好生活APP，在我的查看对应的权益卡券。
E家平安(升级体检版)的保额是多少？是否共享保额？,E家平安·百万医疗险保额不共享，但全家共享1万免赔额。
E家平安(升级体检版)适合哪些人来投保，我可以为谁投保,"""E家平安·百万医疗险可以为家人投保，除本人外，家人范围为以下人群： 1、配偶； 2、子女； 3、自己的父母，配偶的父母。 注：投保人数上限8人。"""
是否保新冠肺炎？,没有明确除外因新冠肺炎产生的医疗费用，在保险责任范围内，无论是因普通疾病还是意外造成的一般医疗费用在1万免赔额以上的，还是因特定重大疾病治疗产生的医疗费用，均可全额申报，但普通门诊不在理赔范围之内。
E家平安百万医疗险(升级体检版)5000免赔是否保新冠肺炎？,百万医疗险(升级体检版)5000免赔没有明确除外因新冠肺炎产生的医疗费用，在保险责任范围内，无论是因普通疾病还是意外造成的一般医疗费用在1万免赔额以上的，还是因特定重大疾病治疗产生的医疗费用，均可全额申报，但普通门诊不在理赔范围之内。
本产品所承保的非机动车是指？,本产品所承保的非机动车是指以人力或者畜力驱动的，以及虽有动力装置驱动但设计最高时速、空车质量、外形尺寸符合有关国家标准的交通工具，具体以《中华人民共和国道路交通安全法》及其他相关法律法规规定为准；本产品所针对的非机动车为非营运性质的两轮非机动车。
本产品可以购买多份吗？,限投一份，多投无效。
有了医保还需要其他保险吗？,医疗保险是医保的补充与提升。具有有600万高保额，且覆盖医保外自费药与自费项目。其保障范围涵盖了120种特定重大疾病，已经将常见的重大疾病都全部覆盖，同时为您提供不限次住院垫付和重疾绿通服务。另外还为您提供不限次的电话问诊服务，小病不用去医院，随时随地就能看医生！
是否可以多次购买?,否，同一被保险人在一个保单年度，只能购买一次。
在哪些医院治疗，可获得理赔？,在中华人民共和国境内（不含港、澳、台地区）二级及以上公立医院普通部接受住院、住院前后30天门急诊、特殊门诊、门诊手术治疗的，可以报销个人支付的、必要且合理的医疗费用。
保险的等待期有多久,30天
此份保险保什么疾病,甲乙类法定传染病
理赔时如何证明宠物身份呢？,我公司运用图片识别技术，鉴定理赔治疗时的宠物与承保时的宠物是否为同一只；若我司无法认定为同一只的，客户可提供更多承保宠物的照片、视频等身份证明文件。
宠物发生疾病需治疗时，需要提前告知保险公司？,需要，若您承保的宠物发生承保范围内的治疗项目时，需先向我司报案。
宠物任何保险责任均可获得赔偿吗？,不是的，我公司只承保产品中规定的保险责任，不在此范围的保险责任，我公司不承担赔偿责任。
产品具体有哪些保险责任，每个项目有何赔偿额度限制？,以产品产品中规定的保险责任为准。
赔偿金额如何计算？,赔偿计算逻辑为:产品中约定的保险责任且须保险人承担的保险责任总额（其中每项责任赔偿金额最高为产品中规定的额度）扣除保单中约定的免赔额与根据免赔比例计算的金额中取大者，所算值与每次事故赔偿限制比较，取小者为单次事故的赔款金额，保单下累计的赔偿金额不超过保单规定的保险金额。
买完保险宠物马上生病了，可否申请赔付呢？买完保,不可以，本产品首次投保30天等待期（含意外和疾病），续保无等待期。
本产品的保障范围？,房屋主体、房屋装修、室内财产。
企事业单位车辆购买新车保险，个人是否可以投保？,可以。
家庭财产险的标的地址要求？,承保被保险人拥有合法产权的、建筑结构为钢混或砖混的商品房，不承保用于生产经营性质的房屋。
萌宝保是否有等待期 ？,首次投保或非连续投保本保险时，被保险人在本主险合同生效之日起30日内发生疾病，由此而导致门（急）诊治疗的，无论治疗时间与生效之日是否间隔超过30日，我们都不承担给付保险金的责任。这30日的时间称为等待期。自动续保或者因意外伤害发生上述情形的，无等待期。
100元免赔额如何理解？,萌宝保单次免赔额为100元。即对被保险人发生的单次门（急）诊医疗费用，我们均需扣除单次免赔额后再计算应给付的门（急）诊医疗保险金，当单次门（急）诊医疗费用低于单次免赔额时，我们对该次门（急）诊不承担给付门（急）诊医疗保险金的责任。被保险人从社会医疗保险、公费医疗、工作单位、商业保险等其他途径报销部分不计入免赔额，个人自付部分计入免赔额。
医保目录外的药品和诊疗费用是否包含？,萌宝保的保障范围为医保范围内的医疗费用，不包含医保目录外的药品和诊疗费用。
什么是意外伤害？,（1）意外伤害是指遭受外来的、突发的、非本意的、非疾病的使身体受到伤害的客观事件。如不小心滑倒，被别人撞倒，被电动车刮蹭等。 （2）故意行为使自己遭受伤害，如自杀、自残、打架、酗酒造成的伤害，均不属于意外伤害。 （3）因自身疾病导致的，也不属于意外伤害。
什么是猝死？,猝死指平素身体健康或貌似健康者，由潜在疾病、身体机能障碍或其他非外来性原因所导致的、在出现急性症状后发生的突然死亡，以医院的诊断或公安、司法机关的鉴定为准。本处所指突然死亡包含突发急性症状，且直接、完全因此急性症状突然发作后的48小时内身故（具体以医院的诊断或公安、司法机关的鉴定为准）
发生意外需要到什么医院治疗？,经卫生行政部门认定的二级以上（含二级）医院治疗（急诊不受医院等级限制可在具有医疗资质的医院先行治疗，但是三天内须转到二级以上医院治疗）。
我户口在杭州，但不在杭州居住，可以投保吗？,投保可以，但意义不大。杭州市老年人意外险保障范围是杭州市区域，只有在杭州市区域内发生责任范围内的事故，才可以理赔。
已经在其他地方赔偿了，能否在老年人保险中再次得到赔偿？,1、医药费部分：若被保险人在保险期间所发生保险责任范围内的医疗费用，已经从社会医疗保险保障计划或其他商业医疗保险保障计划或其他任何途径获得补偿或赔偿，本保险仅承担剩余部分赔偿责任；若被保险人虽有上述社会医疗保险或其他商业医疗保险，但是，被保险人先向本项目的保险人申请赔偿，保险人不得拒绝被保险人的赔偿申请。  2、死亡/残疾部分：若被保险人在保险期间所发生保险责任范围内的死亡/残疾，不论是否已经从社会医疗保险保障计划或其他商业医疗保险保障计划或其他任何途径获得补偿或赔偿，本保险均承担死亡/残疾赔偿责任。
被保人包含幼儿园嘛？,包含
被保人年龄是多少？,3-25周岁
Q1：本产品所承保的人群范围是？,本产品保障保单载明用户地址的住户（或合法居住人）及其法定父母、法定配偶、法定子女以及主被保险人法定配偶的法定父母因家庭燃气意外导致被保险人身故残疾、家庭财产损失，或造成第三者人身伤亡、第三者财产损失的保险事故。保单未列明人员申请理赔时，需提供结婚证、户口本、出生证等能够证明其与主被保险人关系的材料，确认为本产品保障对象的方可进行赔付
本产品被保险人年龄是多少？,主被保险人的年龄限定为20-55周岁；连带被保险人年龄限定为0-80周岁。
本产品被保险人的年龄范围？,0-80周岁。
本产品可以购买几份？,本产品限投一份，多投无效。
本产品可以承保什么类型的房屋？,本产品仅承保在中华人民共和国境内（不含港澳台地区）的房屋，仅承保被保险人拥有合法产权的、建筑结构为钢混或砖混（不含砖木结构）的、非营业性质的房屋。
保险的保险期限？,30天
本保险承保的被保险人年龄范围是多少？,本保险承保年龄为18-65周岁，超出年龄范围无效。
本产品保障范围是什么？,满足国标要求的非机动车辆，在运行过程中发生碰撞受伤、滑到受伤、撞伤他人及因意外所产生的医疗费用均在本产品保障范围内。
非被保险人本人驾驶保单载明车辆时发生碰撞，造成的第三者人身伤害是否在赔付范围内？,经被保险人允许的驾驶人在驾驶保单载明非机动车过程中发生意外事故，造成的第三者人身伤害在保险责任范围内。
被保险人违反交通规则，发生意外受伤是否在赔付范围内？,违反交通规则行为发生的意外伤害不予赔付。
本产品可承保的标的范围是什么？,本产品仅承保被保险人拥有合法产权的、建筑结构为钢混或砖混的房屋。自建房为本保险除外责任。
本产品每次事故的免赔额是多少？,300元
被保险人的职业类别限制为几类？,被保险人职业类别需属于《职业分类表》中的1-3类职业，出险时从事职业类别高于1-3类职业的不属于保险责任
意外医疗费用的免赔额与赔付比例分别是多少？,免赔额100后80%赔付
本保险承保的驾乘被保险人年龄范围是多少？,本保险承保年龄为0-80周岁
保险的被保人是儿童还是监护人,被保人为18岁以下的未成年人
学平险的保险范围是怎样的？,无论是否参加医保，保险公司承担责任的医疗费用报销范围均与社保范围一致。
本产品方案能投支持宁波以外地区学生投保？,本产品方案是为宁波地区学生专属定制，仅支持宁波就读的全日制在校学生投保。
电动车撞倒人了怎么办？,保险责任包含第三者死亡伤残或医疗费用赔偿责任，最高22万赔偿限额
电动车受损赔不赔？,本保险保障车上人员或驾驶员的意外死亡伤残或医疗费用赔偿责任，不保障电动车本身的财产损失赔偿责任
新标车能保，不是新标车能不能保？,留存车一样能保，在赔偿限额上较新标车略低
什么房屋都可以投保吗？,仅承保钢混和砖混结构的用于居住的房屋，不承保用于生产经营用途的房屋。
本保险的投保人年龄范围？,3-18周岁
保险的被保人是儿童还是监护人?,被保人为18岁以下的未成年人。
如何查询保单？,您好，您可点击 查保单 ，即可查询保单信息。温馨提醒：1、平安好车主保单同步存在延迟，若您刚投保成功，需等待10分钟后查询；2、需投保人实名认证后查询；3、团体（企业）名义购买，请下载 企业宝 查询。
保险的犹豫期有多久?,0天。
每次事故免赔额是多少元？,300元
每次财产损失限额是多少？,1000元
产品保障坐出租车发生的意外吗？,保障的。
被保人年龄为？,0-80周岁。
本保险的被保人年龄？,保障50-80周岁。
保险等待期多久,本产品等待期为3天。
本保险的保障区域？,本产品承保区域适用于中国大陆境内。
本保险的高风险运动包括哪些？,一般常规性的运动风险等级更高、更容易发生人身伤害的运动，包括但不限于潜水，滑水，滑雪，滑冰，驾驶或乘坐滑翔翼、滑翔伞，跳伞，攀岩运动，探险活动，武术比赛，摔跤比赛，柔道，空手道，跆拳道，马术，拳击，特技表演，驾驶卡丁车，赛马，赛车，各种车辆表演、蹦极。
如何使用救援,为了使您出险后尽快得到救援，请拨打24小时救援热线95511
投保了住院津贴责任，有3天免除天数，怎么理解?,保险人对被保险人每次住院的实际住院天数减去3天免赔天数，按照保险单载明的住院津贴日额给付住院津贴。住院津贴给付天数最多为90天。  
平安双好专属百万医（互联网版）的保险责任有哪些？,"平安双好专属百万医（互联网版）提供的保障包含：1、600万百万医疗保险保障：300万保额的一般医疗费用保障+300万保额的120种特定重疾医疗费用保障+100万保额的质子重离子医疗费用保障，累计赔付上限600万。一般医疗1万免赔额，质子重离子、特定重疾0免赔；2、300万保额特定药品费用保障，0 免赔,100%赔付 ；3、增值服务：住院垫付、重疾绿通、住院护工、海外远程咨询及特药服务。"
平安双好专属百万医（互联网版）是否保新冠肺炎,没有明确除外因新冠肺炎产生的医疗费用，在保险责任范围内，无论是因普通疾病还是意外造成的一般医疗费用在1万免赔额以上的，还是因特定重大疾病治疗产生的医疗费用，均可全额申报，但普通门诊不在理赔范围之内。
平安双好专属百万医（互联网版）有没有犹豫期？,本产品有10天犹豫期，犹豫期内退保，可全部退还保费。
平安双好专属百万医（互联网版）的赔付比例是多少？,E家平安·百万医疗险对于保障范围内必要且合理的医疗费用中个人支付（含社保个人账户支付和现金支付）超过1万元的部分，无论是否属于医保范围，均可100%报销。以有社保身份投保但末在社保报销的，报销比例60%，有社保身份但未在社保报销的赔付公式：赔款=（医疗费用-年免赔额）*60%。
平安双好专属百万医（互联网版）的等待期是多少天？,"保险等待期:是指保险合同在生效的指定时期内,即使发生保险事故,受益人也不能获得保险赔偿,这段时期称为等待期本保险首次投保的等待期为30日；因意外伤害发生保险事故的，无等待期"
平安双好专属百万医（互联网版）是否保证续保？,本产品非保证续保
平安双好专属百万医（互联网版）理赔需要提交什么资料？,理赔资料：1、被保险人、申请人有效身份证件（复印件，大陆二代身份证需提供正反面复印件）;2、新生儿或未成年人出险，需提供与申请人的关系证明（复印件）;3、病历资料，包括但不限于出院小结、门诊病历、诊断证明书、病理及其他各项检查检验报告（原件）;4、医疗费用发票（原件）及费用明细清单;5、银行账户信息：包括开户行、户名、账号（复印件）;6、申请授权第三方代为领取理赔金仅限于连带被保险人之间，并需同时提供双方身份证明材料复印件。授权双方需在理赔申请书委托人、被委托人处签字;7、若存在第三方先行赔付的情况，需提供第三方结算分割单原件及与之对应的发票复印件;8、所能提供的与确认保险事故的性质、原因等有关的其它证明和资料（原件）;9、当保险金作为被保险人遗产时，必须提供可证明合法继承权的相关权利文件（原件）。
平安双好专属百万医（互联网版）理赔款什么时候到账,如确属保险责任范围，从公司收到您提交齐全的理赔材料且审核无异议后3-5个工作日赔款到账。
买完保险宠物马上生病了，可否申请赔付呢,不可以，本产品首次投保30天等待期（含意外和疾病），续保无等待期；
基础版和升级版保险产品中赠送的体检包含哪些项目？,体重体温、牙齿、口腔粘膜、四肢骨骼肌肉、基础神经学、体表淋巴结、胸部、腹部、耳道分泌物、皮肤、粪便、血常规、营养状况评估、饮食指导。
投、被保人关系?,目前仅限本人、父母、配偶、子女。子女是成年人也可以投保。投保时不需要提供关系证明，理赔时，理赔人员根据情况，可能要求出示结婚证、出生证明。
购买保险后如何使用该服务？,  进入“平安好生活”APP→在 “我的-我的卡券”选择对应卡券，进入导诊服务→确认就诊人信息，填写病情描述，跳转至互联网医院问诊登录页完成校验→进入诊室，如为首次使用或为家庭成员问诊，则需补充相关配送地址→医生进行问诊并开具处方→用户通过处方单，点击“去购药”，确认配送方式，支付运费及超额药品费→等待药品配送上门或到店自取（首期产品暂未开放该功能）。
是否只有本人可以使用该服务？,  本产品支持家庭成员问诊，根据《互联网诊疗管理办法（试行）》、《互联网医院管理办法（试行）》、《远程医疗服务管理规范（试行）》规定，互联网医院问诊必需补充患者个人信息。用户问诊时需要实名认证，您可预先在系统中新增就诊人信息，将您的家庭成员信息添加后再使用该服务。 注:家庭成员添加仅支持被保险人的法定子女、法定夫/妻、和被保险人及其法定夫/妻的法定父母。根据互联网诊疗的相关文件规定，0~6周岁儿童暂不支持线上处方药购买。
购买药品是否需要额外付费,如果您的保单尚处等待期内，您可在平台使用药诊保权益问诊购药，但所购药品需自行承担药费及运费。 等待期结束后，您可在报销额度内抵扣药费。超过报销额度部分需自付药费，您可抵扣的药费金额、抵扣次数及抵扣上限，可登陆“平安好生活”APP查看。
目前哪些疾病可以线上问诊购药？,产品涵盖种常见疾病，可覆盖您日常问诊需求。但高血压、糖尿病等慢性疾病和一些强管制的精神、麻醉等药品以及疫情管控药品，暂不支持通过本产品进行线上问诊购买。您可登录好生活APP查看详细疾病清单。
是否可以开具指定药品？,根据《处方管理办法》第十四条，医师应当根据医疗、预防、保健需要，按照诊疗规范、药品说明书中的药品适应证、药理作用、用法、用量、禁忌、不良反应和注意事项等开具处方。问诊及处方属于诊疗活动，我们会从医学专业的角度为您提供专业服务，需要您简述病情后，医生从医学专业角度，针对您的病情出具诊疗意见。不支持您未经问诊后直接指定药物理赔。
单次问诊可购药数量？,医生会根据您的病情为您开具处方，同时根据《处方管理办法》第十九条规定“处方一般不得超过7日用量；急诊处方一般不得超过3日用量。” 需提醒的是，上述3-7日是指医生开方时的用药量，与所开处方是处方药/OTC药品无关。平台医生将严格按照处方管理办法相关规定，并参考您的实际病情，开具处方，这也是为了给您提供更良好的诊疗服务体验，避免因为病情变化耽误治疗。您可以先遵照医嘱按时服用药品，若在用药完毕后病情仍有反复，可再次发起问诊，医生可根据您的恢复情况提供更有针对性的诊疗建议。
单次问诊购药报销额度300元是什么意思？,如果您享有药诊保权益，需要理解“单次报销额度300元”是您在等待期结束后，发生疾病后经平台医生问诊开方后可报销的药品金额上限。问诊开方属于诊疗活动，我们会从医学专业的角度为您提供专业化服务，并按照监管规定开具适当用药量的处方。您每次的报销金额，以“医生开出处方的药品费用”乘以“您所购买的保险产品报销比例”为准。
问诊处方审核时效？,目前医生进行在线问诊开具处方后，会由门店药师工作人员进行审方。在门店工作时间内，常规审方时间是10分钟以内，还请用户耐心等待。
购买的药品是否支持退换货？,药品与其他商品不同，受国家药监局严格监管溯源，非药品质量问题，药品自下单支付后，均不支持退换货，感谢您的理解。如果您还未收到药品可以在平安保险订单页发起退货退款；如已收到药品，但因质量问题退款，需将药品寄回门店由店员查验无误后方可做退款处理。【质量问题包括但不限于:药品保质期过期、非人为药品包装破损等】。
赔偿认定依据是什么？,一般以法院判决为准。
