question,answer
如何办理个人与单位车辆间的过户,您好，个人与单位车辆间的过户，需先到交通管理部门进行变更，变更成功后，携带相关材料到承保地批改部门办理保险变更手续。
查询保单类型说明,"您好，目前平台暂支持查询在平安产险投保的个人车险保单和部分意外险保单，寿险、产险、健康险、养老险等保单，可通过APP底部→我的→账户管家→账户设置→平安保单（立即关联）→确认授权，授权后可查询。

★温馨提醒：
支持查询众安平安联合保险，公司车及其他类型的车辆暂不支持。"
如何查询卡券上报进度,您好，如需查看卡券上报进度，可通过APP底部→我的→帮助与反馈→底部→服务进度→ 问题处理进度 ，即可查看。
药诊卡如何使用,您好，您可下载 平安好生活APP ，通过好生活APP底部→我的→我的卡券→药诊卡→激活使用→健康专区→药诊服务，根据页面提示操作。或选择到店购药，选择商品，付款时出具二维码即可。
驾照查分,您好，您可通过APP底部→享服务→ 驾照查分 ，根据页面提示输入相关信息即可查询。
APP如何关闭程序,您好，退出APP程序应用，您可以通过按返回键退出应用程序或者直接按home键直接返回，也可以通过手机应用程序后台直接关闭程序，感谢您的支持。
上年未出险今年保单折扣,您好，车险的折扣涉及到很多方面，除了理赔情况还要看车型、本年度承保情况等，咱们报价平台是综合了以上情况直接算出的精确保费哦，您可以报价时获取精确保费。
甘肃、吉林、山西、黑龙江、新疆交强险费率浮动说明,"您好，甘肃、吉林、山西、黑龙江、新疆地区交强险费率浮动比率如下：

A1：上一个年度未发生有责任道路交通事故，浮动比率-20%；
A2：上两个年度未发生有责任道路交通事故，浮动比率-30%；
A3：上三个年度未发生有责任道路交通事故，浮动比率-40%；
A4：上一个年度发生一次有责任不涉及死亡的道路交通事故，浮动比率0%；
A5：上一个年度发生两次有责任不涉及死亡的道路交通事故，浮动比率10%；
A6：上一个年度发生有责任道路交通死亡事故，浮动比率30%。

★温馨提醒：
部分地区还受到道路交通安全违法行为影响，详细可向当地承保部门咨询。"
什么开头的油卡是河南中石化,您好，10001141xxxx开头的油卡即为河南中石化加油卡。
代办年检处理进度,您好，平台无法查询代办年审的处理进度，建议您联系代办年检服务商查询。
车险全保说明,"您好，车险全保的相关说明如下：

在车险行业从来没有没有“全险”“全保”这个概念，故也不存在“全赔”的说法。保险消费者通常说的汽车全保或全险，是指：交强险+车损险+第三者责任保险+车上人员险等这几项，有条件的话，还会根据自身需求购买车身划痕险、车轮单独损失险、法定节假日限额翻倍险等其他车险险种。

★重要提醒：
并非购买了所有的车险险种，保险公司就能全赔，保险条款是由保监会根据风险评估后确定的，条款中会有责任免除项，也会有未涵盖的保障项目，故任何保险都无法做到全赔。"
优惠加油时发生问题如何处理,您好，如在使用优惠加油过程中出现疑问，请咨询客户服务电话：4000835999。
车险定损出现差价的处理方式,"您好，车险定损出现差价的处理方式：

车险定损价格是参照车辆维修行业统一标准、并按照市场价格确定的合理修车金额。从维修市场行情看，由于进货渠道、市场供求关系等原因，客户选择的修理厂的修理价格将会大幅度高于我们的定损金额，超出的部分我司是不予承担的。且一般情况下保险公司对事故的定损原则都是一次性定损。但对于有争议的特殊定损，可以联系我司原派工定损员进一步确认处理。"
为什么要实名制缴费,实名制已成为多个行业的规范性要求，对于消费者而言，车险实名制缴费制度保护了车险消费者的权益，有利于督促保险公司及其业务人员如实履行保险产品说明义务，有利于保险消费者自主选择车险产品和服务。
车险理赔是否需要事故认定书,"您好，建议您报案时也需报交警，开具事故认定书，对于含人伤案件理赔时，我们都是需要交警开具的事故认定书来办理理赔。 

★温馨提醒：
 若无法提供证明或其他情况可以联系理赔人员确认。"
国外拨打95511的方法,"您好，当您身处国外，需要咨询95511的时候，可以通过以下方式联系我们：
（1）86-21-95511

（2）86-755-95511　

（3）86-2168649510"
【我的收藏】功能进入途径,您好，您可以通过APP底部→我的→我的收藏，即可进入。
多张优惠加油券能否一次性使用,您好，多张加油券不能一次性使用，单次加油只能够使用一张加油券。
车险事故本车拖车费的报销要求,"您好，本车在发生车险事故后，拖车费的报销需在投保了车损险的情况下，为减少保险车辆的损失所支付的必要的、合理的施救费用，是属于保险责任范围的，这种情况产生的拖车费用可在车损险保额限额内进行赔付。

★温馨提醒：
具体施救费的情况可以与您的理赔人员联系确认。"
驾乘险保额是否共享,"驾乘险不是共享保额，保额是按车上每个座位计算的。
"
什么是出单机构,您好，出单机构为投保时，选择的投保城市，即为您打印订单的城市，车险投保后是全国通赔的，保单上出单机构不会影响您后期的理赔与服务，请您放心。
福利洗车券无法使用,您好，洗车券都是有效期限的，请先核实卡券是否在有效期内~若在有效期内使用时出现异常，您可在下方提交具体问题，及卡券使用异常截屏，提交专员核实处理。
代办年检费用退款未到账,您好，通过APP申请年检失败后，后续工作人员会将失败款项退还给您，若您在退回后未收到相应款项，可在下方问题描述中填写：车牌及手机号，提交专员核实处理。
车险理赔流程,您好，车险理赔流程如下：通过APP首页→办理赔/报保险→ 我要报案 →事故勘察→确认损失修复方案→修车→提交理赔资料→领取赔款。★温馨提醒：1、使用平安好车主报案需先绑定车辆信息；2、外籍人士报案时，在证件类型一栏切换证件类型且手机号一栏填写大陆手机号，请尽可能避免为他人报案。
车险事故责任划分,"您好，关于车险事故责任划分：
车辆交通事故责任划分需由公安机关交通管理部门执行，保险公司无划分责任的权限，公安机关交通管理部门应当根据当事人的行为对发生道路交通事故所起的作用以及过错的严重程度，确定当事人的责任。
（一）因一方当事人的过错导致道路交通事故的，承担全部责任；
以下十六种情形通常将被确定为全部责任：
1、追尾碰撞前车的；
2、变更车道发生事故的；
3、倒车、溜后发生交通事故的；
4、从路外或非机动车道驶入机动车道发生碰刮的；
5、绿灯放行或没有信号灯控制的路口转弯车未让直行车的；
6、进入环行路口的车未让驶出或在环行路口内行驶的车辆的；
7、跨越道路中心实线或者隔离实线发生事故的；
8、逆向行驶的；
9、右侧超车发生交通事故的；
10、超越前方正常掉头、左转弯、超车的车辆时发生碰刮的；
11、冲红灯发生交通事故的；
12、有禁止掉头标志、标线的地方以及在人行横道、桥梁、陡坡、隧道掉头发生交通事故的；
13、碰撞依法可以暂停、停放的车辆的；
14、开关车门造成交通事故的；
15、机动车进出停车场或停车泊位时与正常行驶的车辆发生事故的；
16、单方发生交通事故。 
（二）因两方或者两方以上当事人的过错发生道路交通事故的，根据其行为对事故发生的作用以及过错的严重程度，分别承担主要责任、同等责任和次要责任；
（三）各方均无导致道路交通事故的过错，属于交通意外事故的，各方均无责任。
一方当事人故意造成道路交通事故的，他方无责任。
省级公安机关可以根据有关法律、法规制定具体的道路交通事故责任确定细则或者标准。"
车险查询,
车险理赔是否需要现场照片,您好，为方便理赔顺利赔付，车险事故需要现场照片，请您在事故发生后多保留事故现场照片材料，可加快理赔进度。
视频券兑换后显示非会员,"您好，视频优惠券兑换成功后显示非会员的原因如下：

1、充值手机号码不是视频登录账号；
2、当月是否充值超过4次，若超过充值次数会导致官方封号；
3、若无以上情况，请联系视频客服：4000182010核实处理。"
平安好车主信用卡申请失败的原因,"您好，平安好车主信用卡申请失败的原因如下：

1、主要是实名认证的问题。因相关部门规定，客户手机号码必须与身份证关联一致。目前有一些由于手机实名未通过导致无法发卡的客户，我们会每月进行数据重审。客户提供一个任意银行的卡号，并以其对应的预留手机号关联申请平安好车主卡，即可完成实名认证；
2、如审批失败相关问题，可能是因为综合评分不足，具体可联系平安银行客服。"
机动车行驶证补办流程,"您好，机动车行驶证补办需客户带上相关证件到相关部门填写《补领、换领机动车牌证申请表》，市（县）辖区的机动车应先由市（县）车管所审核盖章。

★温馨提醒：
此信息仅供参考，具体可联系车管部门核实。"
保单、发票与实际支付金额不符,您好，保单、发票金额与实际支付保费金额不符，建议您先确定是否有投保其他保险，或拥有两张发票，如确定没有，可联系专属客户经理核实处理。
如何联系年检代办师傅,"您好，您可通过 我的订单 →年检代办，进入订单详情页面，右上角可以一键联系师傅。

★温馨提醒：
请注意查看您的手机短信，在您预约后系统会触发一条短信（含师傅姓名、电话号码、预约时间），如您有需要可以即时联系您的代办师傅。"
保费影响因素,
出险报案后保险公司是否到现场处理,出险报案后，我司会安排理赔人员与您联系，理赔人员将根据案件情况告知案件是否需到现场以及何时安排人员查勘等流程。
什么是附加医保外医疗费用责任险,附加医保外医疗费用责任险：应对第三者或车上人员承担的医疗费用，保险人对超出《道路交通事故受伤人员临床诊疗指南》和国家基本医疗保险同类医疗费用标准的部分负责赔偿。
APP加油充值支付方式,您好，APP中充值油卡时，支持微信、车主钱包支付；到站加油时，支持微信、支付宝支付，具体支付方式以页面展示为准。
如何为他人买保险,
APP升级的方法,"您好，您可通过以下方法升级APP：

（1）在您进入APP时，屏幕会出现消息弹屏，提示您“发现新版本【X.X.X】；立即更新下次再说”，您可点击【立即更新】升级；
（2）通过手机的软件市场更新版本：苹果手机在APP Store中升级软件，安卓手机在应用商店中升级软件。

★温馨提醒：
部分手机有自动升级软件的功能，若您有需要可以尝试设置为WIFI情况下自动更新软件。"
人工客服的工作时间,人工在线服务时间为工作日的8：00~19：00，非工作时间您都可以咨询安安哦。
车险非事故免费救援的费用说明,"您好，车险非事故免费救援的费用说明如下：

救援服务费是免费的，但是如果救援过程中产生了其他的费用，须由客户自己承担，比如：
（1）申请紧急送油，燃油购置费用由申请自行承担，部分区域因当地政府对散装油有严格限制，故存在送油限制，可安排拖车服务；
（2）申请更换轮胎，若需救援厂提供轮胎，轮胎购置费需申请人自行承担；
（3）申请现场抢修，需更换配件的购置费用由申请人自行承担；
（4）申请拖车牵引或者吊装救援，超出50KM的救援费用以及在执行救援过程中，如果产生了停车费、看管费、过路过桥费、高速费等额外费用，由客户承担，具体费用以当地收费标准为依据。

★温馨提醒：
救援车辆前往救援地点和救援完成驶离的状态都不算救援过程中。"
车辆过户流程,"您好，车辆大致过户流程如下：

车管所查档 → 刑侦、工商验车 → 领取行驶证受理回执 → 领取行驶证正本 → 购置税过户 → 保险更名。

★温馨提醒：
仅供参考，具体以当地车管所规定为准。"
E生平安·疾无忧plus（互联网版）保障期限,您好，E生平安·疾无忧plus（互联网版）保障期限为1年。
车险维修后续处理,"您好，车险维修后续处理如下：

普通案件在车辆维修完成后，需将案件所需材料通过好车主上传，待材料审核完毕后，我司会将赔款以转账的方式支付到被保险人或被保险人授权赔付的银行账户中。"
如何修改账户中车辆信息,"您好，修改账户车辆信息方式如下：

1、若您添加的车辆在平安投保，经过身份验证后，可通过平安好车主首页→查保单 → 信息修改 →选择险别（商业险、交强险）→按照页面提示进行修改；
2、若绑定的车辆信息需修改，可通过平安好车主底部→我的→ 我的爱车 →车辆管理→选择需要删除的车辆→删除车辆，重新添加一下，车牌就变更过来了，添加时记得点击【立即验证】。其它车辆信息有误，可直接通过【我的爱车】→【车辆管理】重新编辑即可。"
活动页面的活动消失,您好，活动会根据活动时间的到期而下线，请核实是否在活动时间内，若在活动时间内，建议刷新活动页面或退出后重新登录软件查看。
车衣（车膜）可以投保吗，该如何操作,您好，车衣（车膜）属于耗材，不属于加装设备，车险责任不覆盖，无法承保。
非车险理赔流程,"您好，非车险理赔流程主要包括：报案、材料递交、理赔人员审核、赔款支付、结案等几大环节。目前平安好车主APP已开通在线报案功能：

1、您可通过APP首页→ 办理赔/报保险 →申请理赔→我要报案 ，填写相应的报案信息；
2、根据报案页面提示将相应的材料上传即可。

★温馨提醒：
外籍人士报案时，在证件类型一栏切换证件类型且手机号一栏填写大陆手机号，请尽可能避免为他人报案。"
如何注销平安信用卡,注销平安信用卡请拨打电话95511-2联系客服为您办理。
怎么下单,
摩托车交强险保费的计算标准,"摩托车交强险保费的计算标准是根据摩托车排量计算的：
1、摩托车排量在50CC及以下，交强险保费为：80元；
2、摩托车排量在50CC-250CC（含），交强险保费为：120元；
3、摩托车排量在250CC以上及侧三轮，交强险保费为：400元。
注：摩托车和上道路行驶的拖拉机的保费，不会因为道路交通事故和道路交通安全违法行为而浮动。"
车辆划痕案件,"您好，车辆划痕分以下两种情况： 

1、车身发生了明显碰撞痕迹的刮痕，在投保了“车辆损失保险”的情况下，可向保险公司报案申请理赔；
2、车身发生无明显碰撞痕迹的车身划痕损失，在投保了“车身划痕损失险”的情况，可向保险公司报案申请理赔。

根据您的描述无法准确判断您的损失是否在保险责任范围内，若您的车辆有发生事故，建议尽快报案，由工作人员为您核实处理。报案可通过APP首页→办理赔/报保险→ 我要报案 ，即可自助报案。

★温馨提醒： 
划痕险的保额是保险期内总的保额，在保险期间内，累计赔款金额达到保险金额，划痕险保险合同终止。"
提示证件号有误的原因,您好，系统提示的证件号为客户购买保险时所提供的投保人/车主的证件号，一般客户提供的是身份证号，部分客户提供的是护照号、军官证号、台胞证号、统一社会信用代码等。
药诊卡门店如何查询,您好，您可下载 平安好生活APP 后，通过APP底部→我的→我的卡券→去使用→药诊服务→到店购药→付款码→服务门店，即为合作药店。
适合非机动车的险种,"您好，非机动车保险，骑行专属意外保障，助您畅行无忧。

为您推荐以下产品，快点击了解下吧??"
年检代办退款时效,您好，年检代办退款一般会在您申请后7个工作日内到账。
代驾服务收费标准,"您好，各地代驾收费标准不一致，您可在呼叫代驾页面点击【预计】→【计费规则】，查看您当前所处城市的计费标准。服务费用包括代驾费和等候费。

★温馨提醒：
下单页面仅为预估价格，实际费用需根据实际里程、等待时间等因素计算；若有代驾券，在服务范围内无需支付费用，若超出部分，按计费规则支付。"
平安·E生平安·女神重疾险(互联网版)投保方式,您好，您可通过平安好车主底部→找保险→健康险→ 平安·E生平安·女神重疾险(互联网版)，进入了解和购买。
保险等待期介绍,"保险等待期是指保险合同在生效的指定时期内，即使发生保险事故，受益人也不能获得保险赔偿，这段时期称为等待期。
一般情况下，意外险无等待期，重大疾病保险的等待期为90-180天，医疗险的等待期为30天。等待期一般是从合同生效日或复效日算起，只适用于第一个保险年度，对于可续保单来说，续保年度一般不再有等待期。
注：每个险种的等待期不同，具体还是要以对应产品页面详情为准。"
保险是否都有纸质凭证,"您好，关于保险是否有纸质凭证具体情况如下：

车险：多数城市现在已经是电子保单，无需配送纸质凭证；仍实行纸质保单的城市，保单及相关凭证一般是在您投保成功后3个工作日（不含周末、节假日）安排配送；
其他保险：无需配送，直接发送电子凭证至邮箱。

投保成功后，可点击 电子保单 、电子发票 ，选择对应险种，保存图片至相册后打印纸质凭证。

★温馨提醒：
1、若您需要配送纸质凭证，建议您联系专属客户经理协助处理；
2、部分城市单独购买交强险暂不支持配送。"
什么是车上人员责任险,您好，车上人员责任险是指被保险人及其允许的合法驾驶人在使用保险车辆过程中，致使保险车辆车上人员、正在上下车人员以及刚下车人员遭受人身伤亡，依法应由被保险人承担的经济赔偿责任，保险人按照本保险合同的规定负责赔偿。
一键续保无法使用,您好，若无法使用一键续保功能，您可通过APP首页→ 买车险 ，进行续保。
保险到期前是否有续保提示？,您好，在合同终止后，保险公司只有接到客户新的要约，即投保申请后，才能进行核保并决定是否同意承保。目前官方平台的大部分产品，在保险到期前的一段时间内会进行短信或电话提醒，同时也建议您及时关注保险的到期时间，以便及时办理续保手续。
如何批改保单使用性质,您好，如您需批改保单使用性质，可通过平安好车主首页→查保单→ 信息修改 →选择险别（商业险、交强险）→按照页面提示进行修改。
事故定损地点及定损方式,出险报案后我们会安排理赔专员联系您，根据案情不同会安排不同的定损方式和地点，我们提供7*24小时的专业服务，为您的出行增添保障。
退保保费的到账时效,"您好，退保保费到账时效如下：

1、车险：退保申请需人工核保，一般核保通过后3到5个工作日到账；
2、其他保险退保：退保核保通过后一般一个工作日左右到账。"
显示非自己车辆信息的原因,您好，若我的车辆中显示的不是自己的车辆信息，您可通过 我的爱车 →右上角车辆管理→点击删除即可，不会影响您其他车辆使用车主服务。
什么是垫付,垫付指对于不属于保险合同约定的赔偿保险金的情形下，为了及时抢救道路交通事故受害人，保险人代致害人暂时支付应由其自行承担的抢救费用的情形，保险人对于此部分费用有权向致害人追偿。
优惠充电已支付费用如何退款,您好，在结束充电后，若已缴费用还有余额，1~3个工作日左右会原路返回账户中。
能否修改多选一礼包,您好，多选一礼包奖励兑换后暂不支持重选，给您带来不便，敬请谅解。
无法查询出险记录的原因,"您好，若您在理赔中心无法查询您已经报案成功的案件，可能存在以下原因：

1、查询案件信息仅针对平安车险客户使用，且需要您在APP中注册登录；
2、绑定车辆的车架号与车牌号需与行驶证信息一致；
3、为了保护车主隐私，批改车牌后旧车牌的案件就无法查询，故您有批改车牌的操作将会影响案件记录的显示；
4、目前只能查询近2年的理赔记录。"
代驾服务申请,"您好，代驾服务申请步骤如下：

1、您可通过APP底部→【我的】→ 我的卡券 ，点击卡券进入详情→进入代驾预约页面，填写您的出发地、目的地，卡券抵扣成功后即可下单；
2、也可通过APP首页→叫代驾，进入代驾预约页面，填写您的出发地、目的地，即可下单。

★温馨提醒：
1、代驾申请之后，司机进度您可实时查询；
2、司机接单以及取消订单，您都会接到站内通知及公众号通知；
3、订单完成后，您即会接到订单完成通知。"
返回首页,目前需要自行手动点击首页按钮，返回首页。
车险人伤出院后的处理流程,车险伤者办理出院手续后请保留好医疗费发票原件、疾病诊断书、出院记录、病历、影像材料及报告单等，并打印费用清单。如无其他异常情况可将相关理赔材料交至我司办理理赔，若需要保险公司提供陪同调解服务或其他问题，可及时联系人伤专员或到我司当地门店进行人伤咨询。
水淹车案件注意事项,您好，如车辆已被淹，千万不要再次打火，避免扩大损失无法赔付。并在安全区域内尽快向交通部门和保险公司报案处理。平安车主可以使用平安好车主app、平安好车主公众号、平安好车主小程序快速报案，也可以通过95511电话报案。请务必多拍摄事故现场照片供后续补充理赔材料。
车险是否可以短期投保,"您好，因各地政策差异，暂不能帮您确认是否可以投保短期的机动车商业险，请联系承保部门核实。但有下列情形之一的，投保人可以投保短期的交强险：

1、境外机动车临时入境的；
2、机动车临时上道路行驶的；
3、机动车距规定的报废期限不足1年的；
4、监管其他规定的情形。"
门店预约的入口,"您好，您可点击 服务预约 ，根据页面提示预约即可。预约成功后，您按照预约的时间到店即可。

★温馨提醒：
取号前需确认您需要去办理业务的门店地址，选择要去的门店后进行取号。"
理赔款支付方式,您好，当保单中没有特殊约定的情况下，理赔都是以转账的方式支付到被保险人或法定受益人的同名银行账户，不以现金、支票方式支付，如您有其他特殊要求，可在交单时咨询我司工作人员。
药诊卡权益在哪里查看,"您好，您可下载 平安好生活APP ，通过APP底部→我的→我的卡券→药诊卡/药诊保药品抵扣券，即可查看。

★温馨提醒：
药诊卡会在保险办完后发放到被保险人的好生活APP卡券包内，保单起保后即可使用。"
二次定损的流程,案件二次重开必须客户主动提出书面申请或直接到门店进行申请，机构根据客户申请进行立案。我司会及时定损理赔，但二次定损因原因不同有一定的复杂性，基于对服务可靠性的审慎考虑，这类二次案件没有规定绝对的时效限制，希望您能理解。
车钥匙锁车里的处理方法,您好，若车钥匙锁车里了，建议您尽量取回备用钥匙或者通过联系4S店协助处理，谢谢。
优惠加油服务,您好，您可通过APP首页→ 优惠加油 →选择油站→选择油号、油枪、输入金额，完成支付后，展示订单详情给予油站工作人员进行核销加油。
如何下载保单,您好，您可点击 电子保单 ，选择对应的险种，点击下方图片下载或PDF下载即可，下载完成后请进入手机相册中查看。
订单无法查询,
车险合作维修厂电话查询,您好，您可通过APP首页→ 服务地图 →汽车服务→全部→综修厂，选择修理厂后，即可查询或联系修理厂哦。
需提供行驶证车主信息的原因,您好，报价需连接公共信息平台，获取报价需要校验行驶证相关信息。
车险代驾服务区域,"您好，车险代驾服务区域为全国。（市区外、郊县、偏远地区会出现无人服务等现象的发生，具体以代驾服务商覆盖区域为准）

★温馨提醒：
部分城市代驾卡券只限当地使用，具体使用区域请以卡券页面说明为准。"
案件车辆未维修的情况,您好，车险车辆一直没有维修存在多种原因，例如：定损价格未确定、汽修厂配件不齐全、汽修厂维修工作量大等，如需了解及催促维修进度，您可以联系案件负责定损员或车辆所在维修厂的工作人员。
用户问题类型为坐席工号,您好，点击这里 可直接验证坐席工号。
平安银行业务,您好，您可以拨打“95511转3”进入平安银行，会有客服人员为您服务。
页面超时的原因,您好，如果您长时间未在页面内进行操作，系统将在25分钟内提醒，在30分钟后会因页面超时而过期。
免检车辆领取年检标志的流程,"您好，免检车辆领取年审标志的流程如下：

1、领取标志前需要先处理掉违章信息；
2、携带身份证、车辆行驶证、当年在有效期内的交强险保单；
3、到车管所指定免检车辆的窗口，把证件交给工作人员。工作人员录入信息后，就可以到下一窗口免费领取年检标志和环保标志，但领取时要各提供一份行驶证复印件，建议提前准备。

★温馨提醒：
领取免检标志可以提前60天去办理，请合理安排时间，逾期未办理的要罚款200元，扣3分。"
打字的时候，提示输入不了,您好，若您在打字时候输入不进去，可能是因为APP系统升级或手机网络情况不理想，请您将APP升级至最新版本、检查网络使用情况后，尝试退出后重新登录软件再试一下。
车挡道了,您好，若车辆被挡路需要移动车辆，可先查看车上是否留有车主联系方式或挪车码，先尝试联系一下车主。若仍联系不上，建议您联系小区物管或交通管理部门处理。
APP软件无法打开,您好，APP软件无法打开存在多种原因，可能是因为手机版本不兼容，系统驻留的程序太多或APP服务器异常，您可关闭APP重新开启。
意健险投保费用问题,您好，意健险投保费用有疑问， 您可输入“转人工”由人工客服为您核实。
办理ETC是否需要收费,"您好，ETC办理需要支付设备费用，设备包含一套蓝牙OBU设备及ETC卡片，当您申办成功后，您设备的邮寄费用由我们为您承担。但若因您的操作导致设备需邮寄返回，费用需要您自行承担。
目前费用是99元办理，具体收费信息可在平安好车主 ETC →点击“立即办理”查看详细说明。"
案件材料补传流程,您好，您可通过APP首页→ 办理赔/报保险 →根据案件类型选择【车险案件】或【非车险案件】，点击对应的案件补传相关材料，若无法上传理赔资料，建议联系案件定损员核实。
药诊卡余额有误,您好，若药诊卡余额有误，请提供具体的号码及对应保单号，联系客服核实处理。
办理车险退保所需资料,您好，车险退保所需资料如下：1、商业险退保所需资料：?①投保人签字/章申请（原件）；?②投保人有效身份证明；?③收回已出具的保单（如无法收回，可提供遗失说明）；?④还款证明或登记证书原件（标的为按揭车时需提供）。2、交强险退保所需资料：①车辆注销或者转籍过户到外省的证明或重复投保且签单日期在前的保单；?②批改申请书（盖章或签字）；?③保单、发票、保卡原件且盖退保章（如遗失的需说明遗失且放弃索赔权益，盖章或签字）。
药诊卡能否延期,您好，药诊卡不支持延期。
领取礼包时提示礼包失效的处理方式,您好，若您在领取礼包时提示礼包失效，可输入“转人工”，提供问题详情和页面截图，由人工客服为您上报核实。
油卡说明,
车架号已被其他车辆使用的处理方式,您好，如您在绑定车辆时提示车架号已被绑定/占用，建议您先去保单中心补录新车牌，车牌补录成功后，将原绑定的车辆删除后重新绑定即可。
对自己的会员等级和权益有疑问,
保单配送进度查不到的原因,
办理退保的地址,您好，您可进入APP底部→享服务→用车养车→ 服务地图 →选择：平安门店，就可以直接查询附近门店地址、电话、工作时间。
平安好车主提示“保单未在车中心验证”,
有效期查询,
如何投保非车险,"您好，您可通过APP底部→ 找保险 ，看到更多非车产品，强烈建议您使用热销产品列表进行选择哟，或在优选产品中，根据您需要，选择适合的险种进入了解详情。

为您推荐以下产品??"
车险车辆注册日期查询,"您好，车险车辆注册日期的查询方式如下：

1、您可点击 电子保单 →选择对应险种，即可查询；
2、可点击 我的爱车 →选择需要查询的车辆进行查询；
3、您可以在行驶证正面左下角进行查看；
4、您可以在车辆登记证上进行查看。"
查询违章提示“交管系统维护中”,"您好，查询违章功能提示“数据维护中”的原因如下：

（1）受数据维护/升级/故障影响，会导致部分地区查询违章提示“数据维护中”，将暂时无法在线查询违章信息；
（2）因数据同步产生少量误差、结果不准或无法查询的情况，届时请以当地相关部门数据为准； 
（3）贵州、河南、陕西、天津地区车辆在平台中只能查询该车在本省的违章，暂不支持异地查违章功能。"
年检代办提示“参数不合法”,您好，由于系统升级维护，导致APP申请年检代办提示“参与不合法”，建议您明日再操作，给您带来不便，敬请谅解。
保险保额查询,您好，您可通过APP首页→查保单→ 电子保单 →选择对应险种，即可进行保险保额查询。
如何批改车辆型号,您好，如您发现车险保单中登记的车辆型号有误，可通过平安好车主首页→查保单→ 信息修改 →选择险别（商业险、交强险）→车辆信息修改，进行保单修改；若自助批改不成功，您可点击 门店预约 到平安门店处理，预约后会有专人联系您。
旧车出险是否影响新车,您好，因为每辆车的车架号是不同，旧车出险不会影响到您新车保险。
违章代办济南顺通联系方式,您好，APP代办违章服务商济南顺通客服电话：4006261798。
没出险为什么保费还涨了,您好，没出险的话，保费是有优惠的哦， 我们的优惠是在基准保费的基础上进行的呢，不是上年的保费基础上哦，您当地的基准保费如果上浮的话，那对您总体的保费也是会有影响的呢，也是会相对上浮的哦，但是还是有优惠的呢。
APP无法登录的原因,"您好，APP无法登录原因如下：

1、是否APP版本问题，建议您卸载重新安装APP最新版本；
2、提示“网络不可用”查看手机设置，是否允许APP使用网络；若是苹果手机，请用户检查设置，蜂窝移动网络，WLAN与蜂窝移动网，看下是否打开；
3、未在其他手机登录，但登录后APP提示“已在其他备注登录”旧版本问题，更新版本即可；
4、登录收不到验证码，您可以选择使用语音验证码登录；
5、特殊号段：199号段—旧版本问题，更新版本即可。"
保单授权管理步骤,"您好，保单授权，您可通过APP首页→查保单→左上角本人头像→ 添加家人 ，根据页面提示填写家人身份信息，并选择“授权给家人”或“申请家人授权”。

★温馨提醒：
若您之前已添加过家人未授权成功，可进入 我的家人 中进行修改。"
出险次数与实际不符,您好，若发现APP显示出险次数与实际不符，请联系理赔员核实原因。
是否需要购买不计免赔率特约条款,您好，新条款中不计免赔率险已并入到主险中，消费者无需再单独购买。新条款下只要在保险责任范围内都可以正常赔偿。★温馨提醒：主险指：车辆损失险、商业第三者责任险、车上人员责任险。
如何查看会员权益,您好，通过平安好车主APP（底部）→我的→ 会员中心 ，进入了解会员等级或使用权益。
兑换卡券提示不足如何处理,您好，因近期服务使用火爆，卡券兑换提示余额不足、无库存、第三方兑换码不足等情况，供应商正在加急补货中，建议您过段时间再试。
违章查询准确性说明,您好，目前平台获得交通部门授权，通过交通系统实时查询用户车辆的违章情况，可真实准确的反映车辆的违章情况。但因全国部门正在建立统一的平台，极少部分车辆的违章信息会因交通系统维护和升级原因，造成违章暂时无法查询、数据不完整或数据更新不及时的情况，建议您稍后再试，若您需紧急处理的违章可到当地交通部门详细查询处理。
如何进行语音输入,您好，您可以长按输入栏左边的话筒按钮，系统会帮您自动翻译语音的哦。
药诊卡无法使用,"您好，药诊卡无法使用的原因如下：

1、药诊卡单自然季度使用权益上限为100元*药诊卡数量，建议核实额度是否使用完；
2、订单中心有待付款订单，会锁定权益金额，需将待付款订单取消即可；
3、药诊卡需在平安合作药店使用，请核实是否为合作药店；
4、门店在可用门店列表内，不支持药诊权益支付，则联系药店升级收银系统，告知药店是使用平安药诊服务扫码支付即可。

★温馨提醒：
若非以上问题，也可退出APP后再尝试重新登陆一下。"
保单发票填写规定,"您好，由于财务制度的管理，保单发票一般是开投保人的名字。

★温馨提醒：
其它类型的发票抬头事宜，建议您联系专属客户经理咨询。"
车险保单可批改的内容,"您好，自助批改场景有人员/车辆信息修改、保险过户、险别变更、停复驶、退保等，可支持的具体功能如下：

1、人员/车辆信息修改：支持投保人、被保险人、车主的姓名、证件号码和联系方式更改，以及车牌号、车架号、发动机号更改；
2、保险过户：支持关联单合并过户批改，可同时更改投保人、被保险人、车主及车牌号； 
3、险别变更：增加/减少司乘险、三者险；
4、停复驶：营运车辆申请停驶或已停驶车辆的复驶；
5、退保：保单到期前，支持退保退费。

★温馨提醒：
目前仅开通部分城市批改功能，具体可修改的类型以当地承保机构要求为准。"
药诊卡是否有使用限额,您好，药诊卡有月度/季度限额，具体限制额度以卡券说明为准。
为什么无法查询定损详情,您好，定损完成后才能查询到定损的总价格及维修的损失部位（无法看到每个部位的详细金额），所以请确认您所查到案件是否已经完成定损，如果已经完成，但未显示定损详情，可以通过平安好车主APP首页→报保险/办理赔→ 案件查询，查询案件联系负责的理赔员核实。
商业险保费影响因素,
